Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A11",Absolute Quantification,"ABS","PCH_10_1_JUNE_M",Ch2Unknown,"HEX","Manual",11400,ddPCR Supermix for Probes (no dUTP),228000,,,15100,9500,15556,1,16,0,15540,1,1.21,15557,,,,,,,,0.00011,,,0.00017,5E-05,0.011,,,0.017,0.005,1,1,2388,3566.4,751.26,3566.2,"",,,,12900,10300,,,,,,,0.000136,7.7E-05,,,0.0136,0.0077,
"A12",Absolute Quantification,"ABS","PCH_10_1_JUNE_M",Ch2Unknown,"HEX","Manual",11300,ddPCR Supermix for Probes (no dUTP),226000,,,15000,9400,14554,1,16,0,14538,1,1.29,14555,,,,,,,,0.00011,,,0.00018,5E-05,0.011,,,0.018,0.005,1,1,2254,3584.4,490.98,3584.2,"",,,,12800,10200,,,,,,,0.000146,8.3E-05,,,0.0146,0.0083,
"B01",Absolute Quantification,"ABS","INF_COPES_10_4_M",Ch2Unknown,"HEX","Manual",25.9,ddPCR Supermix for Probes (no dUTP),518,,,28.9,22.9,288,12926,3,140,285,12786,0,13214,,,,,,,,0.49,,,0.59,0.39,33.1,,,37.5,28.6,1,1,2000,3493.7,693.85,754.88,"",,,,27.5,24.4,,,,,,,0.54,0.44,,,35.3,30.8,
"B02",Absolute Quantification,"ABS","INF_COPES_10_5_M",Ch2Unknown,"HEX","Manual",0.52,ddPCR Supermix for Probes (no dUTP),10.4,,,1.01,0.22,7,15827,0,2,7,15825,0,15834,,,,,,,,0.29,,,0.77,0,22,,,52,0,1,1,1964,3383.6,713.13,714.31,"",,,,0.74,0.35,,,,,,,0.52,0.05,,,37,8,
"B03",Absolute Quantification,"ABS","INF_COPES_10_6_M",Ch2Unknown,"HEX","Manual",0.24,ddPCR Supermix for Probes (no dUTP),4.8,,,0.65,0.06,3,14486,0,1,3,14485,0,14489,,,,,,,,0.3,,,1.2,0,25,,,75,0,1,1,2125,3578.4,709.01,709.61,"",,,,0.42,0.13,,,,,,,0.75,0,,,49,1,
"B04",Absolute Quantification,"ABS","UNEX_COPES_10_4_S",Ch2Unknown,"HEX","Manual",70,ddPCR Supermix for Probes (no dUTP),1400,,,74.7,65.4,875,14268,,,,,,15143,,,,,,,,,,,,,,,,,,1,1,2218,3464.2,698.74,858.54,"",,,,72.4,67.7,,,,,,,,,,,,,
"B05",Absolute Quantification,"ABS","UNEX_COPES_10_5_S",Ch2Unknown,"HEX","Manual",6.4,ddPCR Supermix for Probes (no dUTP),128,,,7.9,5.1,80,14634,,,,,,14714,,,,,,,,,,,,,,,,,,1,1,2020,3417.5,688.23,703.07,"",,,,7.2,5.7,,,,,,,,,,,,,
"B06",Absolute Quantification,"ABS","UNEX_COPES_10_6_S",Ch2Unknown,"HEX","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.51,0,0,6975,,,,,,6975,,,,,,,,,,,,,,,,,,1,1,2020,0,684.71,684.71,"",,,,0.23,0,,,,,,,,,,,,,



"B10",Absolute Quantification,"ABS","PCH_10_2_JUNE_M",Ch2Unknown,"HEX","Manual",1100,ddPCR Supermix for Probes (no dUTP),22000,,,1125,1075,8154,5272,1,0,8153,5272,0.0876,13426,,,,,,,,8E-05,,,0.00027,0,0.008,,,0.027,0,1,1,2221,3423.2,692.07,2350.8,"",,,,1112,1087,,,,,,,0.00017,0,,,0.017,0,
"B11",Absolute Quantification,"ABS","PCH_10_2_JUNE_M",Ch2Unknown,"HEX","Manual",1092,ddPCR Supermix for Probes (no dUTP),21840,,,1117,1069,8477,5537,2,0,8475,5537,0.168,14014,,,,,,,,0.00015,,,0.00039,0,0.015,,,0.039,0,1,1,2187,3395.1,685.49,2324.6,"",,,,1105,1080,,,,,,,0.00027,4E-05,,,0.027,0.004,
"B12",Absolute Quantification,"ABS","PCH_10_2_JUNE_M",Ch2Unknown,"HEX","Manual",1068,ddPCR Supermix for Probes (no dUTP),21360,,,1091,1046,9169,6200,0,0,9169,6200,0,15369,,,,,,,,,,,,,,,,,,1,1,2254,3424.1,692.33,2322.1,"",,,,1080,1057,,,,,,,,,,,,,



"C04",Absolute Quantification,"ABS","UNEX_COPES_10_4_S",Ch2Unknown,"HEX","Manual",73.2,ddPCR Supermix for Probes (no dUTP),1464,,,77.9,68.5,937,14594,,,,,,15531,,,,,,,,,,,,,,,,,,1,1,2312,3489,708.94,876.67,"",,,,75.6,70.8,,,,,,,,,,,,,
"C05",Absolute Quantification,"ABS","UNEX_COPES_10_5_S",Ch2Unknown,"HEX","Manual",7.1,ddPCR Supermix for Probes (no dUTP),142,,,8.7,5.7,90,14897,,,,,,14987,,,,,,,,,,,,,,,,,,1,1,1919,3425.6,689.42,705.85,"",,,,7.9,6.4,,,,,,,,,,,,,
"C06",Absolute Quantification,"ABS","UNEX_COPES_10_6_S",Ch2Unknown,"HEX","Manual",0.32,ddPCR Supermix for Probes (no dUTP),6.4,,,0.76,0.1,4,14555,,,,,,14559,,,,,,,,,,,,,,,,,,1,1,2053,3526.9,694.36,695.13,"",,,,0.52,0.19,,,,,,,,,,,,,



"C10",Absolute Quantification,"ABS","BLA_10_1_MARCH_M",Ch2Unknown,"HEX","Manual",1000000,ddPCR Supermix for Probes (no dUTP),20000000,,,1000000,10000,7877,0,48,0,7829,0,0,7877,,,,,,,,7.2E-06,,,1.13E-05,3.1E-06,0.00072,,,0.00113,0.00031,1,1,2488,3627,0,3627,"",,,,1000000,10000,,,,,,,1.09E-05,3.5E-06,,,0.00109,0.00035,
"C11",Absolute Quantification,"ABS","BLA_10_1_MARCH_M",Ch2Unknown,"HEX","Manual",1000000,ddPCR Supermix for Probes (no dUTP),20000000,,,1000000,10000,9059,0,52,0,9007,0,0,9059,,,,,,,,6.8E-06,,,1.06E-05,2.9E-06,0.00068,,,0.00106,0.00029,1,1,2321,3602.1,0,3602.1,"",,,,1000000,10000,,,,,,,1.03E-05,3.3E-06,,,0.00103,0.00033,
"C12",Absolute Quantification,"ABS","BLA_10_1_MARCH_M",Ch2Unknown,"HEX","Manual",1000000,ddPCR Supermix for Probes (no dUTP),20000000,,,1000000,10000,16055,0,86,0,15969,0,0,16055,,,,,,,,6.3E-06,,,9.7E-06,2.9E-06,0.00063,,,0.00097,0.00029,1,1,2053,3625.4,0,3625.4,"",,,,1000000,10000,,,,,,,9.5E-06,3.1E-06,,,0.00095,0.00031,
"D01",Absolute Quantification,"ABS","INF_COPES_10_4_M",Ch2Unknown,"HEX","Manual",24.7,ddPCR Supermix for Probes (no dUTP),494,,,27.4,22,322,15202,5,170,317,15032,0.107,15524,,,,,,,,0.54,,,0.64,0.44,35.1,,,39.3,30.9,1,1,1964,3564.2,714.85,773.95,"",,,,26,23.3,,,,,,,0.59,0.49,,,37.2,33,
"D02",Absolute Quantification,"ABS","INF_COPES_10_5_M",Ch2Unknown,"HEX","Manual",0.47,ddPCR Supermix for Probes (no dUTP),9.4,,,0.95,0.18,6,15131,0,2,6,15129,0,15137,,,,,,,,0.33,,,0.91,0,25,,,58,0,1,1,2018,3399.8,708.58,709.65,"",,,,0.69,0.3,,,,,,,0.62,0.05,,,41,9,
"D03",Absolute Quantification,"ABS","INF_COPES_10_6_M",Ch2Unknown,"HEX","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14690,0,0,0,14690,0,14690,,,,,,,,,,,,,,,,,,1,1,2152,0,702.33,702.33,"",,,,0.11,0,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","UNEX_COPES_10_4_M",Ch2Unknown,"HEX","Manual",69,ddPCR Supermix for Probes (no dUTP),1380,,,73.6,64.4,851,14093,0,0,851,14093,0,14944,,,,,,,,,,,,,,,,,,1,1,2288,3618.4,709.29,874.95,"",,,,71.3,66.6,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","INF_COPES_10_2_M",Ch2Unknown,"HEX","Manual",6510,ddPCR Supermix for Probes (no dUTP),130200,,,6840,6210,13626,54,12696,47,930,7,751,13680,,,,,,,,0.484,,,0.51,0.458,32.6,,,33.8,31.5,1,1,2221,3600.2,690.77,3588.7,"",,,,6670,6360,,,,,,,0.498,0.471,,,33.2,32,
"D06",Absolute Quantification,"ABS","INF_COPES_10_3_M",Ch2Unknown,"HEX","Manual",338,ddPCR Supermix for Probes (no dUTP),6760,,,349,327,3612,10857,470,1511,3142,9346,0,14469,,,,,,,,0.513,,,0.541,0.485,33.9,,,35.1,32.7,1,1,2321,3530.1,685.53,1395.6,"",,,,344,332,,,,,,,0.527,0.498,,,34.5,33.3,



"D10",Absolute Quantification,"ABS","BLA_10_2_MARCH_M",Ch2Unknown,"HEX","Manual",2141,ddPCR Supermix for Probes (no dUTP),42820,,,2186,2098,11739,2270,4,0,11735,2270,0.336,14009,,,,,,,,0.00016,,,0.00032,0,0.016,,,0.032,0,1,1,2154,3467.1,700.5,3018.8,"",,,,2164,2119,,,,,,,0.00024,8E-05,,,0.024,0.008,
"D11",Absolute Quantification,"ABS","BLA_10_2_MARCH_M",Ch2Unknown,"HEX","Manual",2120,ddPCR Supermix for Probes (no dUTP),42400,,,2170,2070,8576,1701,2,1,8574,1700,0,10277,,,,,,,,0.00016,,,0.00036,0,0.016,,,0.036,0,1,1,1953,3476.4,699.11,3016.7,"",,,,2142,2090,,,,,,,0.00026,7E-05,,,0.026,0.007,
"D12",Absolute Quantification,"ABS","BLA_10_2_MARCH_M",Ch2Unknown,"HEX","Manual",1892,ddPCR Supermix for Probes (no dUTP),37840,,,1942,1845,7275,1821,3,1,7272,1820,0,9096,,,,,,,,0.00027,,,0.00055,0,0.027,,,0.055,0,1,1,2154,3495.5,709.09,2937.6,"",,,,1917,1868,,,,,,,0.00041,0.00013,,,0.041,0.013,



"E04",Absolute Quantification,"ABS","W1_BLA",Ch2Unknown,"HEX","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.32,0,0,10933,0,0,0,10933,0,10933,,,,,,,,,,,,,,,,,,1,1,2405,0,695.46,695.46,"",,,,0.15,0,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","W3_BLK",Ch2Unknown,"HEX","Manual",1767,ddPCR Supermix for Probes (no dUTP),35340,,,1808,1727,8763,2511,4,0,8759,2511,0.417,11274,,,,,,,,0.00024,,,0.00048,0,0.024,,,0.048,0,1,1,2288,3298.6,729.02,2726.3,"",,,,1788,1746,,,,,,,0.00036,0.00012,,,0.036,0.012,
"E06",Absolute Quantification,"ABS","W4_BRB",Ch2Unknown,"HEX","Manual",3.4,ddPCR Supermix for Probes (no dUTP),68,,,4.6,2.5,39,13342,0,1,39,13341,0,13381,,,,,,,,0.026,,,0.087,0,2.5,,,8.3,0,1,1,2254,3130.5,681.5,688.64,"",,,,4,2.9,,,,,,,0.054,0,,,5.2,0,
"E07",Absolute Quantification,"ABS","BOO_10_1_JUNE_M",Ch2Unknown,"HEX","Manual",5640,ddPCR Supermix for Probes (no dUTP),112800,,,5880,5430,13011,109,57,0,12954,109,5.12,13120,,,,,,,,0.00091,,,0.00115,0.00067,0.091,,,0.115,0.067,1,1,1857,3477.3,697.28,3454.2,"",,,,5750,5530,,,,,,,0.00103,0.00079,,,0.103,0.079,
"E08",Absolute Quantification,"ABS","BOO_10_1_JUNE_M",Ch2Unknown,"HEX","Manual",5130,ddPCR Supermix for Probes (no dUTP),102600,,,5350,4950,10378,134,32,1,10346,133,0,10512,,,,,,,,0.00072,,,0.00097,0.00047,0.072,,,0.097,0.047,1,1,1910,3205.2,638.06,3172.5,"",,,,5240,5040,,,,,,,0.00085,0.00059,,,0.085,0.059,
"E09",Absolute Quantification,"ABS","BOO_10_1_JUNE_M",Ch2Unknown,"HEX","Manual",5710,ddPCR Supermix for Probes (no dUTP),114200,,,5950,5510,14393,113,56,1,14337,112,0,14506,,,,,,,,0.00081,,,0.00102,0.0006,0.081,,,0.102,0.06,1,1,2018,3559.5,737.02,3537.6,"",,,,5830,5610,,,,,,,0.00092,0.0007,,,0.092,0.07,
"E10",Absolute Quantification,"ABS","BOO_10_2_JUNE_M",Ch2Unknown,"HEX","Manual",633,ddPCR Supermix for Probes (no dUTP),12660,,,649,617,6291,8833,2,3,6289,8830,0,15124,,,,,,,,0.0006,,,0.0012,0.0001,0.06,,,0.12,0.01,1,1,1830,3434,689.68,1831.2,"",,,,641,625,,,,,,,0.00089,0.00033,,,0.089,0.033,
"E11",Absolute Quantification,"ABS","BOO_10_2_JUNE_M",Ch2Unknown,"HEX","Manual",644,ddPCR Supermix for Probes (no dUTP),12880,,,660,627,6062,8326,4,4,6058,8322,0.089,14388,,,,,,,,0.001,,,0.0017,0.0003,0.1,,,0.17,0.03,1,1,1910,3409.2,683.18,1831.7,"",,,,652,635,,,,,,,0.00138,0.00065,,,0.138,0.065,
"E12",Absolute Quantification,"ABS","BOO_10_2_JUNE_M",Ch2Unknown,"HEX","Manual",645,ddPCR Supermix for Probes (no dUTP),12900,,,662,629,6153,8418,3,3,6150,8415,0.0652,14571,,,,,,,,0.0008,,,0.0014,0.0001,0.08,,,0.14,0.01,1,1,1910,3425.8,685.99,1843,"",,,,654,637,,,,,,,0.00106,0.00044,,,0.106,0.044,
"F01",Absolute Quantification,"ABS","INF_COPES_10_4_M",Ch2Unknown,"HEX","Manual",26.2,ddPCR Supermix for Probes (no dUTP),524,,,29,23.4,334,14849,2,184,332,14665,0,15183,,,,,,,,0.55,,,0.65,0.45,35.7,,,39.8,31.5,1,1,2044,3596.7,714.35,777.75,"",,,,27.6,24.7,,,,,,,0.6,0.5,,,37.8,33.6,
"F02",Absolute Quantification,"ABS","INF_COPES_10_5_M",Ch2Unknown,"HEX","Manual",0.76,ddPCR Supermix for Probes (no dUTP),15.2,,,1.35,0.38,10,15404,0,2,10,15402,0,15414,,,,,,,,0.2,,,0.53,0,17,,,40,0,1,1,1964,3547.2,700.92,702.77,"",,,,1.03,0.55,,,,,,,0.36,0.04,,,28,5,
"F03",Absolute Quantification,"ABS","INF_COPES_10_6_M",Ch2Unknown,"HEX","Manual",0.19,ddPCR Supermix for Probes (no dUTP),3.8,,,0.61,0.03,2,12421,0,2,2,12419,0,12423,,,,,,,,1,,,3.2,0,50,,,100,0,1,1,2125,3395.1,701.75,702.18,"",,,,0.36,0.08,,,,,,,2.1,0,,,76,24,
"F04",Absolute Quantification,"ABS","W6_ECH",Ch2Unknown,"HEX","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.65,0,0,5453,0,0,0,5453,0,5453,,,,,,,,,,,,,,,,,,1,1,3223,0,1118.2,1118.2,"",,,,0.3,0,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","W8_SUG",Ch2Unknown,"HEX","Manual",0.2,ddPCR Supermix for Probes (no dUTP),4,,,1.1,0,1,5350,0,0,1,5350,0,5351,,,,,,,,,,,,,,,,,,1,1,2553,3116.2,626.54,627.01,"",,,,0.55,0.06,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","W9_COM",Ch2Unknown,"HEX","Manual",2.8,ddPCR Supermix for Probes (no dUTP),56,,,4.5,1.6,15,6207,0,1,15,6206,0,6222,,,,,,,,0.07,,,0.23,0,6,,,20,0,1,1,2221,2989.1,680.03,685.6,"",,,,3.6,2.2,,,,,,,0.14,0,,,13,0,
"F07",Absolute Quantification,"ABS","HI_UNEX_COPES_10_5_S",Ch2Unknown,"HEX","OK",3.1,ddPCR Supermix for Probes (no dUTP),62,,,4.2,2.2,39,14871,,,,,,14910,,,,,,,,,,,,,,,,,,1,1,841,3333.1,688.37,695.29,"",,,,3.6,2.61,,,,,,,,,,,,,
"F08",Absolute Quantification,"ABS","HI_UNEX_COPES_10_6_S",Ch2Unknown,"HEX","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.4,0,1,14078,,,,,,14079,,,,,,,,,,,,,,,,,,1,1,2232,3307,680.59,680.77,"",,,,0.21,0.02,,,,,,,,,,,,,
"F09",Absolute Quantification,"ABS","HI_UNEX_COPES_10_5_S",Ch2Unknown,"HEX","OK",3.4,ddPCR Supermix for Probes (no dUTP),68,,,4.6,2.5,43,14697,,,,,,14740,,,,,,,,,,,,,,,,,,1,1,807,3393.4,684.88,692.78,"",,,,4,2.9,,,,,,,,,,,,,
"F10",Absolute Quantification,"ABS","HI_UNEX_COPES_10_6_S",Ch2Unknown,"HEX","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.38,0,1,14859,,,,,,14860,,,,,,,,,,,,,,,,,,1,1,1937,3372.6,676.57,676.75,"",,,,0.2,0.02,,,,,,,,,,,,,

"F12",Absolute Quantification,"ABS","NTC_M",Ch2Unknown,"HEX","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,14272,0,0,0,14272,0,14272,,,,,,,,,,,,,,,,,,1,1,1589,0,695.64,695.64,"",,,,0.11,0,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","W11_BLA",Ch2Unknown,"HEX","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.26,0,0,13532,0,0,0,13532,0,13532,,,,,,,,,,,,,,,,,,1,1,2018,0,700.76,700.76,"",,,,0.12,0,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","W13_BLK",Ch2Unknown,"HEX","Manual",727,ddPCR Supermix for Probes (no dUTP),14540,,,747,708,5531,6468,0,0,5531,6468,0,11999,,,,,,,,,,,,,,,,,,1,1,1964,3332.9,709.21,1918.6,"",,,,737,717,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","W14_BRB",Ch2Unknown,"HEX","Manual",12,ddPCR Supermix for Probes (no dUTP),240,,,14.1,9.9,127,12421,0,0,127,12421,0,12548,,,,,,,,,,,,,,,,,,1,1,2152,3047.5,686.41,710.31,"",,,,13,10.9,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","W16_ECH",Ch2Unknown,"HEX","OK",3900,ddPCR Supermix for Probes (no dUTP),78000,,,4020,3800,11601,436,0,0,11601,436,0,12037,,,,,,,,,,,,,,,,,,1,1,2058,3543.5,863.74,3446.4,"",,,,3960,3850,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","W17_FAR",Ch2Unknown,"HEX","Manual",1.7,ddPCR Supermix for Probes (no dUTP),34,,,2.6,1,19,13206,0,0,19,13206,0,13225,,,,,,,,,,,,,,,,,,1,1,2077,2838.1,685.29,688.38,"",,,,2.11,1.33,,,,,,,,,,,,,
"G06",Absolute Quantification,"ABS","W18_SUG",Ch2Unknown,"HEX","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.28,0,0,12805,0,0,0,12805,0,12805,,,,,,,,,,,,,,,,,,1,1,2030,0,622.76,622.76,"",,,,0.13,0,,,,,,,,,,,,,
"G07",Absolute Quantification,"ABS","W19_COM",Ch2Unknown,"HEX","Manual",1.5,ddPCR Supermix for Probes (no dUTP),30,,,2.4,0.9,17,12986,0,0,17,12986,0,13003,,,,,,,,,,,,,,,,,,1,1,1937,2924.8,678.62,681.56,"",,,,1.94,1.2,,,,,,,,,,,,,
"G08",Absolute Quantification,"ABS","W20_BOO",Ch2Unknown,"HEX","Manual",37.4,ddPCR Supermix for Probes (no dUTP),748,,,41,33.8,407,12603,0,0,407,12603,0,13010,,,,,,,,,,,,,,,,,,1,1,1890,3060,670.4,745.16,"",,,,39.2,35.5,,,,,,,,,,,,,
